"id","experiment_id","sample_name_abbreviation","time_point","met_id","fragment_id","fragment_formula","intensity_normalized_average","intensity_normalized_cv","intensity_normalized_stdev","intensity_normalized_units","scan_type","met_elements","met_atompositions","used_","comment_"
5432,"ALEWt01","OxicEvo05Ecoli13CGlc","0","acon_DASH_C_c","acon_DASH_C_c_C6H5O6_EPI","C6H5O6-","{0.133765610889237,0.274509929815671,0.28769761860651,0.207685719482954,0.118607520914992,0.0306419512321193,0.000747366767765612}","{4.80776248963936,6.51590040388603,11.6114916746601,7.35305494780932,10.8241570752046,70.6222344566308,53.4121609572017}","{0.00643113286436968,0.0178867936255666,0.0334059850326903,0.0152712450723347,0.0128382643668449,0.0216400306412338,0.000399184740939605}","normSum","EPI","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5433,"ALEWt01","OxicEvo05Ecoli13CGlc","0","akg_c","akg_c_C2HO3_EPI","C2HO3-","{0.240180008631697,0.473660369474546,0.286159621893757}","{21.5638991362837,14.7178673534869,22.0706112609412}","{0.0517921748068566,0.0697127048852996,0.0631571777339503}","normSum","EPI","{C,C}","{0,1}",True,NULL
5434,"ALEWt01","OxicEvo05Ecoli13CGlc","0","amp_c","amp_c_C5H4N5_EPI","C5H4N5-","{0.0611917258754196,0.330405469907951,0.311890962759914,0.197604045534095,0.0721215557878248,0.0388064994327663}","{43.599010982704,7.28166612572697,15.6889162401027,9.76132892465923,26.2970292462789,35.8944624384512}","{0.0266789872849303,0.0240590231798363,0.0489323119078528,0.0192887808530164,0.0189658266183956,0.0139293843625721}","normSum","EPI","{C,C,C,C,C}","{5,6,7,8,9}",True,NULL
5435,"ALEWt01","OxicEvo05Ecoli13CGlc","0","asp_DASH_L_c","asp_DASH_L_c_C3H3O2_EPI","C3H3O2-","{0.27204179506508,0.308362444769097,0.362588956049716,0.0570068041161066}","{6.89946723692753,21.3302267455186,17.0535075167645,55.6218573769727}","{0.0187694345212647,0.065774408667273,0.0618341348748963,0.031708243280631}","normSum","EPI","{C,C,C}","{1,2,3}",True,NULL
5436,"ALEWt01","OxicEvo05Ecoli13CGlc","0","asp_DASH_L_c","asp_DASH_L_c_C3H6NO2_EPI","C3H6NO2-","{0.272062751081625,0.457282148299495,0.201457507326743,0.0691975932921369}","{11.8422405572019,13.0571017426146,11.854127226398,47.7716523169217}","{0.0322183254496274,0.0597077953542788,0.0238810292256422,0.0330568336791972}","normSum","EPI","{C,C,C}","{1,2,3}",True,NULL
5437,"ALEWt01","OxicEvo05Ecoli13CGlc","0","asp_DASH_L_c","asp_DASH_L_c_C4H3O4_EPI","C4H3O4-","{0.292106255671647,0.361877781745036,0.305398299214815,0.0415070473474957,0.0392835874000116}","{3.34556439329905,7.39900496507712,4.88837958252535,37.4335332227175,4.52664742664648}","{0.00977260288034971,0.0267753550388262,0.0149290281041967,0.0155375543585939,0.00177822949813705}","normSum","EPI","{C,C,C,C}","{0,1,2,3}",True,NULL
5438,"ALEWt01","OxicEvo05Ecoli13CGlc","0","asp_DASH_L_c","asp_DASH_L_c_C4H6NO4_EPI","C4H6NO4-","{0.260253604959931,0.338126394785471,0.206715290234513,0.139154437625834,0.0557502723942522}","{4.52405461655512,2.15892970913119,3.97596964806095,2.75090841684127,12.4431598312129}","{0.0117740152299409,0.00729991119143775,0.00821893719762534,0.0038280111370572,0.00693709550035336}","normSum","EPI","{C,C,C,C}","{0,1,2,3}",True,NULL
1448,"WTEColi_optTrDesign","1-13C80_U-13C20","0","amp_c","amp_c_C10H13N5O7P","C10H13N5O7P-",NULL,NULL,NULL,"normSum","MRM","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",False,NULL
5439,"ALEWt01","OxicEvo05Ecoli13CGlc","0","fdp_c","fdp_c_C6H10O8P_EPI","C6H10O8P-","{0.0549463225698008,0.468531769247075,0.154956121460877,0.117196957854275,0.0716135062265551,0.00981216063487647,0.129484602429792}","{5.42978851391027,2.88044197810001,5.82826963591146,12.2906817324027,41.2332026501615,44.1680700472346,27.212414907754}","{0.00298346911171113,0.0134957857621274,0.00903126057609038,0.0144043050899271,0.0295285421472815,0.00433384198235942,0.0352358872548507}","normSum","EPI","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5440,"ALEWt01","OxicEvo05Ecoli13CGlc","0","fdp_c","fdp_c_C6H13O12P2_EPI","C6H13O12P2-","{0.055660755702083,0.46517931049163,0.163179276782776,0.107942948818993,0.0737005347562759,0.00691884689310105,0.130877750001691}","{4.80521268934534,2.28115520216761,7.03964322825982,2.10981251591069,43.4803915170635,98.9026491853825,25.501395018812}","{0.002674617695982,0.0106114620406872,0.011487238907962,0.00227739384422618,0.0320452810621982,0.00684292287035747,0.0333756520196644}","normSum","EPI","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
