"id","model_id","met_name","met_id","formula","charge","compartment","bound","constraint_sense","used_","comment_","lower_bound","upper_bound","balanced","fixed"
42,"140407_iDM2014","Undecaprenyl diphosphate","udcpdp_c","C55H89O7P2",-3,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
43,"140407_iDM2014","Nicotinamide adenine dinucleotide - reduced","nadh_c","C21H27N7O14P2",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
44,"140407_iDM2014","phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)","pe181_c","C41H78NO8P",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
45,"140407_iDM2014","UTP","utp_c","C9H11N2O15P3",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
46,"140407_iDM2014","two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain)","murein4px4p_p","C74H112N14O39",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
47,"140407_iDM2014","Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)","pg181_c","C42H78O10P",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
48,"140407_iDM2014","glycogen","glycogen_c","C6H10O5",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
49,"140407_iDM2014","Zinc","zn2_c","Zn",2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
50,"140407_iDM2014","H2O","h2o_c","H2O",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
51,"140407_iDM2014","Malonyl-CoA","malcoa_c","C24H33N7O19P3S",-5,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
52,"140407_iDM2014","S-Adenosyl-L-methionine","amet_c","C15H23N6O5S",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
53,"140407_iDM2014","L-Tryptophan","trp_DASH_L_c","C11H12N2O2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
54,"140407_iDM2014","Fe2+","fe2_c","Fe",2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
55,"140407_iDM2014","molybdopterin guanine dinucleotide","mocogdp_c","C20H22MoN10O15P2S2",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
56,"140407_iDM2014","L-Phenylalanine","phe_DASH_L_c","C9H11NO2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
57,"140407_iDM2014","potassium","k_c","K",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
