"id","experiment_id","sample_name_abbreviation","met_id","met_name","isotopomer_formula","met_elements","met_atompositions","ratio","supplier","supplier_reference","purity","comment_"
32,"WTEColi_optTrDesign","4-5-13C","glc_DASH_D_e","4-5-13C_D-Glucose","{CHO,CH2O,CH2O,[13C]H2O,[13C]H2O,CH3O}","{C,C}","{4,5}","1",NULL,NULL,"0.99",NULL
33,"WTEColi_optTrDesign","5-6-13C","glc_DASH_D_e","5-6-13C_D-Glucose","{CHO,CH2O,CH2O,CH2O,[13C]H2O,[13C]H3O}","{C,C}","{5,6}","1",NULL,NULL,"0.99",NULL
12,"ALEsKOs01","OxicEvo04Ecoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
13,"ALEsKOs01","OxicEvo04tpiAEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
14,"ALEsKOs01","OxicEvo04tpiAEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
15,"ALEsKOs01","OxicEvo04sdhCBEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
16,"ALEsKOs01","OxicEvo04sdhCBEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
17,"ALEsKOs01","OxicEvo04pgiEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
18,"ALEsKOs01","OxicEvo04pgiEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
19,"ALEsKOs01","OxicEvo04gndEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
20,"ALEsKOs01","OxicEvo04gndEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
34,"WTEColi_optTrDesign","1-6-13C","glc_DASH_D_e","1-6-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,[13C]H3O}","{C,C}","{1,6}","1",NULL,NULL,"0.99",NULL
35,"WTEColi_optTrDesign","2-5-13C","glc_DASH_D_e","2-5-13C_D-Glucose","{CHO,[13C]H2O,CH2O,CH2O,[13C]H2O,CH3O}","{C,C}","{2,5}","1",NULL,NULL,"0.99",NULL
36,"WTEColi_optTrDesign","1-2-3-13C","glc_DASH_D_e","1-2-3-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,CH2O,CH2O,CH3O}","{C,C,C}","{1,2,3}","1",NULL,NULL,"0.99",NULL
37,"WTEColi_optTrDesign","4-5-6-13C","glc_DASH_D_e","4-5-6-13C_D-Glucose","{CHO,CH2O,CH2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C}","{4,5,6}","1",NULL,NULL,"0.99",NULL
38,"WTEColi_optTrDesign","2-13C80_U-13C20","glc_DASH_D_e","2-13C_D-Glucose","{CHO,[13C]H2O,CH2O,CH2O,CH2O,CH3O}","{C}","{2}","0.8",NULL,NULL,"0.99",NULL
