"q1_mass","q3_mass","ms3_mass","met_name","dp","ep","ce","cxp","af","quantifier","ms_mode","ion_intensity_rank","ion_abundance","precursor_formula","product_ion_reference","product_formula","production_ion_notes","met_id","external_reference","q1_mass_units","q3_mass_units","ms3_mass_units","threshold_units","dp_units","ep_units","ce_units","cxp_units","af_units","ms_group","threshold","dwell_weight","component_name","ms_include","ms_is","precursor_fragment","product_fragment","precursor_exactmass","product_exactmass","ms_methodtype","id","precursor_fragment_elements","product_fragment_elements"
"115","59",NULL,"Fumarate","-25.9","-6","-15","-8.7",NULL,2,"-",2,"9000","C4H3O4-",NULL,NULL,NULL,"fum",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","fum","5000","1",NULL,False,False,"{t,t,t,t}",NULL,"115.0031336",NULL,"tuning",607,"{C,C,C,C}",NULL
"115","71",NULL,"Fumarate","-80.2","-3","-13","-4",NULL,1,"-",1,"126000","C4H3O4-","Luo 2007 / Beuscher 2010","C3H3O2-","Loss of CO2","fum",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","fum","100000","1",NULL,True,True,"{t,t,t,t}","{f,t,t,t}","115.0031336",NULL,"tuning",608,"{C,C,C,C}","{C,C,C,C}"
"229.003","79",NULL,"D-Xylulose 5-phosphate","-42","-12","-53.3","-7.1",NULL,3,"-",NULL,NULL,"C5H10O8P-",NULL,"O3P-",NULL,"xu5p-D",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts",NULL,"5000","1",NULL,False,False,NULL,NULL,"229.0113288078",NULL,"tuning",609,NULL,NULL
"229.003","139",NULL,"D-Xylulose 5-phosphate","-46.2","-10","-19.4","-7.3",NULL,2,"-",NULL,NULL,"C5H10O8P-",NULL,"C2H4O5P-",NULL,"xu5p-D",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts",NULL,"5000","1",NULL,True,False,NULL,NULL,"229.0113288078",NULL,"tuning",610,NULL,NULL
"120","61",NULL,"L-Threonine","74.1","10","24.7","10.2",NULL,NULL,"+",NULL,"240000","C4H10NO3+",NULL,NULL,NULL,"thr-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","thr-L","5000","1",NULL,False,False,NULL,NULL,"120.0660682",NULL,"tuning",611,NULL,NULL
"229.003","97",NULL,"D-Xylulose 5-phosphate","-41.3","-12","-17","-6",NULL,1,"-",NULL,NULL,"C5H10O8P-",NULL,"H2O4P-",NULL,"xu5p-D",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts",NULL,"5000","1",NULL,True,True,NULL,NULL,"229.0113288078",NULL,"tuning",612,NULL,NULL
"124","35",NULL,"Taurine","-59.8","-10","-25.2","-15.2",NULL,NULL,"-",2,"11000","C2H6NO3S-",NULL,NULL,NULL,"taur",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","taur","5000","1",NULL,False,False,NULL,NULL,"124.0068388",NULL,"tuning",613,NULL,NULL
"611","272",NULL,"Oxidized glutathione","-41.9","-10","-39.2","-16",NULL,2,"-",2,"220000","C20H31N6O12S2-",NULL,"C10H14N3O6-",NULL,"gthox",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","gthox","5000","1",NULL,True,False,NULL,NULL,"611.1441369",NULL,"tuning",614,NULL,NULL
"611","306",NULL,"Oxidized glutathione","-30","-10","-33.1","-10.1",NULL,1,"-",1,"600000","C20H31N6O12S2-",NULL,"C10H16N3O6S-",NULL,"gthox",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","gthox","5000","1",NULL,True,True,NULL,NULL,"611.1441369",NULL,"tuning",615,NULL,NULL
"124","80",NULL,"Taurine","-73.6","-10","-29.7","-10.2",NULL,NULL,"-",1,"180000","C2H6NO3S-","Bajad 2006","SO3-",NULL,"taur",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","taur","5000","1",NULL,False,False,NULL,NULL,"124.0068388",NULL,"tuning",616,NULL,NULL
"275","79",NULL,"6-Phospho-D-gluconate","-38","-10","-66.1","-9",NULL,3,"-",1,"650000","C6H12O10P-","Beuscher 2010","O3P-",NULL,"6pgc",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","6pgc","5000","1",NULL,False,False,"{t,t,t,t,t,t}","{f,f,f,f,f,f}","275.0168081",NULL,"tuning",617,"{C,C,C,C,C,C}","{C,C,C,C,C,C}"
"73","45",NULL,"Glyoxylate","-140","-10","-12","-7",NULL,1,"-",1,NULL,"C2HO3-","Beuscher 2010","CHO2-",NULL,"glx",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","glx","5000","1",NULL,True,True,"{t,t}","{t,f}","72.9925689",NULL,"tuning",618,"{C,C}","{C,C}"
"146","102",NULL,"L-Glutamate","-70.3","-10","-20","-7.4",NULL,2,"-",2,"27000","C5H8NO4-",NULL,"C4H8NO2-",NULL,"glu-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","glu-L","5000","1",NULL,True,False,"{t,t,t,t,t}","{t,t,t,t,f}","146.0453328",NULL,"tuning",619,"{C,C,C,C,C}","{C,C,C,C,C}"
"146","128",NULL,"L-Glutamate","-62.8","-10","-14.1","-8.6",NULL,1,"-",1,"46000","C5H8NO4-","Bennette 2010","C5H6NO3-",NULL,"glu-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","glu-L","5000","1",NULL,True,True,"{t,t,t,t,t}","{t,t,t,t,t}","146.0453328",NULL,"tuning",620,"{C,C,C,C,C}","{C,C,C,C,C}"
"171","63",NULL,"Glycerol 3-phosphate","-54.1","-10","-94.4","-7.1",NULL,2,"-",2,"75000","C3H8O6P-",NULL,"O2P","?","glyc3p",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","glyc3p","5000","1",NULL,True,False,"{t,t,t}","{f,f,f}","171.0058495",NULL,"tuning",621,"{C,C,C}","{C,C,C}"
"112.783","95.1",NULL,"Uracil","30","10","13","12",NULL,NULL,"+",2,NULL,"C4H5N2O2+",NULL,NULL,NULL,"ura",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","ura","5000","1",NULL,False,False,NULL,NULL,"113.0351024",NULL,"tuning",622,NULL,NULL
"171","79",NULL,"Glycerol 3-phosphate","-38.3","-10","-29.9","-9.4",NULL,1,"-",1,"480000","C3H8O6P-","Bajad 2006","O3P-",NULL,"glyc3p",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","glyc3p","5000","1",NULL,True,True,"{t,t,t}","{f,f,f}","171.0058495",NULL,"tuning",623,"{C,C,C}","{C,C,C}"
"75","45",NULL,"Glycolate","-56","-4","-15","-5",NULL,2,"-",2,"800","C2H3O3-","Beuscher 2010","CHO2-",NULL,"glyclt",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","glyclt","5000","1",NULL,True,False,"{t,t}","{t,f}","75.00821896",NULL,"tuning",624,"{C,C}","{C,C}"
"282","133",NULL,"Guanosine","-110","-10","-42","-9",NULL,2,"-",NULL,NULL,"C10H12N5O5-",NULL,"C5HN4O-",NULL,"gsn",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","gsn","5000","1",NULL,True,False,NULL,NULL,"282.0838435",NULL,"tuning",625,NULL,NULL
"282","150",NULL,"Guanosine","-110","-10","-26","-9",NULL,1,"-",NULL,NULL,"C10H12N5O5-",NULL,"C5H4N5O-",NULL,"gsn",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","gsn","5000","1",NULL,True,True,NULL,NULL,"282.0838435",NULL,"tuning",626,NULL,NULL
"126","41",NULL,"Taurine","57.6","10","31","4.3",NULL,NULL,"+",2,"44000","C2H8NO3S+",NULL,NULL,NULL,"taur",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","taur","5000","1",NULL,False,False,NULL,NULL,"126.0224888",NULL,"tuning",627,NULL,NULL
"120","102",NULL,"L-Threonine","69.7","10","10.8","12.3",NULL,NULL,"+",NULL,"410000","C4H10NO3+",NULL,NULL,NULL,"thr-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","thr-L","5000","1",NULL,False,False,NULL,NULL,"120.0660682",NULL,"tuning",629,NULL,NULL
"145.001","101",NULL,"L-Glutamine","-20.2","-10","-14.3","-6.8",NULL,2,"-",2,"180000","C5H9N2O3-",NULL,"C4H9N2O-",NULL,"gln-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","gln-L","5000","1",NULL,True,False,"{t,t,t,t,t}","{f,t,t,t,t}","145.0613172",NULL,"tuning",630,"{C,C,C,C,C}","{C,C,C,C,C}"
"344","150",NULL,"3',5'-Cyclic GMP","-24","-11","-34","-9.4",NULL,1,"-",1,"630000","C10H11N5O7P-","Bajad 2006 / Luo 2007 / Beuscher 2010","C5H4N5O-","[Guanine-H]-","35cgmp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","35cgmp","5000","1",NULL,True,True,"{t,t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,t,t,t,t,t}","344.0396092",NULL,"tuning",631,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"344","79",NULL,"3',5'-Cyclic GMP","-42","-9","-78","-9",NULL,2,"-",2,"340000","C10H11N5O7P-",NULL,"O3P-",NULL,"35cgmp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","35cgmp","5000","1",NULL,True,False,"{t,t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f,f}","344.0396092",NULL,"tuning",632,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"184.9851141","79",NULL,"Pool_2pg_3pg","-35.8","-10","-50","-9.05",NULL,1,"-",NULL,NULL,"C3H6O7P-","Luo 2007","O3P-",NULL,"Pool_2pg_3pg",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","Pool_2pg_3pg","10000","1",NULL,True,False,"{t,t,t}","{f,f,f}","184.9851141",NULL,"tuning",633,"{C,C,C}","{C,C,C}"
"265","177",NULL,"3-Phospho-D-glyceroyl phosphate","-47.1","-10","-23.17","-9.71",NULL,2,"-",NULL,"440000","C3H7O10P2-",NULL,"H3O7P2-","ppi","23dpg",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","23dpg","5000","1",NULL,True,False,"{t,t,t}","{f,f,f}","264.9514445",NULL,"tuning",634,"{C,C,C}","{C,C,C}"
"149.916","133",NULL,"Guanine","-135","-10","-20","-13",NULL,1,"-",NULL,NULL,"C5H4N5O-",NULL,"C5HN4O-",NULL,"gua",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","gua","5000","1",NULL,True,True,NULL,NULL,"150.0415848",NULL,"tuning",635,NULL,NULL
"588","79",NULL,"ADPglucose","-16.3","-10","-110.65","-7.21",NULL,2,"-",NULL,"1500000","C16H24N5O15P2-",NULL,"O3P-",NULL,"adpglc",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","adpglc","5000","1",NULL,True,False,NULL,NULL,"588.0744131",NULL,"tuning",636,NULL,NULL
"126.836","97.5",NULL,"Thymine","30","10","9","12",NULL,NULL,"+",2,NULL,"C5H7N2O2+",NULL,NULL,NULL,"thym",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","thym","5000","1",NULL,False,False,NULL,NULL,"127.0507525",NULL,"tuning",637,NULL,NULL
"306","79",NULL,"dCMP","-48","-10","-77.2","-9.1",NULL,2,"-",1,"335000","C9H13N3O7P-","Beuscher 2010","O3P-",NULL,"dcmp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","dcmp","5000","1",NULL,True,False,"{t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f}","306.0491113",NULL,"tuning",658,"{C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C}"
"466","79",NULL,"dCTP","-45.9","-10","-110","-9.1",NULL,1,"-",1,"54000","C9H15N3O13P3-",NULL,"O3P-",NULL,"dctp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","dctp","5000","1",NULL,True,True,"{t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f}","465.9817721",NULL,"tuning",659,"{C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C}"
"808","79",NULL,"Acetyl-CoA","-18.1","-10","-136.9","-9.7",NULL,1,"-",1,"10000","C23H37N7O17P3S-","Luo 2007","O3P-",NULL,"accoa",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","accoa","5000","1",NULL,True,True,"{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f}","808.117948",NULL,"tuning",638,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}"
"139","79",NULL,"Acetyl phosphate","-147","-10","-30.8","-9.2",NULL,2,"-",1,"140000","C2H4O5P-","Bajad 2006","O3P-",NULL,"actp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","actp","5000","1",NULL,True,False,"{t,t}","{f,f}","138.9796347",NULL,"tuning",639,"{C,C}","{C,C}"
"426","79",NULL,"ADP","-23.7","-10","-92","-12",NULL,2,"-",1,"110000","C10H14N5O10P2-","Luo 2007","O3P-",NULL,"adp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","adp","5000","1",NULL,True,False,"{t,t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f,f}","426.0215897",NULL,"tuning",640,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"426","134",NULL,"ADP","-22.4","-10","-31.7","-6.3",NULL,1,"-",2,"39000","C10H14N5O10P2-","Bajad 2006","C5H4N5-",NULL,"adp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","adp","5000","1",NULL,True,True,"{t,t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,t,t,t,t,t}","426.0215897",NULL,"tuning",641,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"88","45",NULL,"L-Alanine","-14.2","-10","-19.9","-14",NULL,1,"-",2,"35000","C3H6NO2-",NULL,"CHO2-",NULL,"ala-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","ala-L","5000","1",NULL,True,True,NULL,NULL,"88.03985344",NULL,"tuning",642,NULL,NULL
"173","155",NULL,"L-Arginine","-99.3","-10","-18.4","-8.3",NULL,2,"-",2,"690000","C6H13N4O2-",NULL,"C6H11N4O-",NULL,"arg-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","arg-L","5000","1",NULL,False,False,NULL,NULL,"173.1038507",NULL,"tuning",643,NULL,NULL
"120","77",NULL,"L-Threonine","127.8","10","33.3","9.6",NULL,NULL,"+",1,"480000","C4H10NO3+",NULL,NULL,NULL,"thr-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","thr-L","5000","1",NULL,False,False,NULL,NULL,"120.0660682",NULL,"tuning",645,NULL,NULL
"267","108",NULL,"Inosine","-20","-10","-52","-13",NULL,2,"-",NULL,NULL,"C10H11N4O5-",NULL,"C4H12O3",NULL,"ins",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","ins","5000","1",NULL,True,False,NULL,NULL,"267.0729445",NULL,"tuning",646,NULL,NULL
"267","135",NULL,"Inosine","-20","-10","-30","-11",NULL,1,"-",NULL,NULL,"C10H11N4O5-",NULL,"C5H3N4O-",NULL,"ins",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","ins","5000","1",NULL,True,True,NULL,NULL,"267.0729445",NULL,"tuning",647,NULL,NULL
"322.2","79",NULL,"CMP","-20","-10","-71.9","-7.1",NULL,NULL,"-",1,"400000","C9H13N3O8P-",NULL,"O3P-",NULL,"cmp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","cmp","5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f}","322.0440259",NULL,"tuning",648,"{C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C}"
"322.2","97",NULL,"CMP","-46.1","-10","-27.7","-8",NULL,NULL,"-",2,"140000","C9H13N3O8P-",NULL,"H2O4P-",NULL,"cmp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","cmp","5000","1",NULL,True,True,"{t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f}","322.0440259",NULL,"tuning",649,"{C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C}"
"203","142",NULL,"L-Tryptophan","-39.6","-10","-20.8","-9.8",NULL,NULL,"-",4,"370000","C11H11N2O2-",NULL,"C10H8N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L","5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,t,t,t,t}","203.0820526",NULL,"tuning",650,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"174","131",NULL,"L-Citrulline","-76.4","-10","-19.1","-6.4",NULL,1,"-",1,"170000","C6H12N3O3-","Bajad 2006 / Buescher 2010","C5H11N2O2-",NULL,"citr-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","citr-L","5000","1",NULL,True,True,"{t,t,t,t,t,t}","{t,t,t,t,t,f}","174.0878663",NULL,"tuning",652,"{C,C,C,C,C,C}","{C,C,C,C,C,C}"
"174","156",NULL,"L-Citrulline","-88.8","-10","-18.9","-10.3",NULL,2,"-",2,"69000","C6H12N3O3-",NULL,"C6H10N3O2-",NULL,"citr-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","citr-L","5000","1",NULL,False,False,"{t,t,t,t,t,t}","{t,t,t,t,t,t}","174.0878663",NULL,"tuning",653,"{C,C,C,C,C,C}","{C,C,C,C,C,C}"
"330","134",NULL,"dAMP","-39.2","-10","-39","-7.4",NULL,2,"-",2,"180000","C10H13N5O6P-","Beuscher 2010","C5H4N5","Adenine","damp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","damp","5000","1",NULL,True,False,"{t,t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,t,t,t,t,t}","330.0603447",NULL,"tuning",654,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"386","79",NULL,"dCDP","-20","-10","-78.9","-9.2",NULL,2,"-",1,"450000","C9H14N3O10P2-",NULL,"O3P-",NULL,"dcdp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","dcdp","5000","1",NULL,True,False,"{t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f}","386.0154417",NULL,"tuning",655,"{C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C}"
"386","113",NULL,"dCDP","-57.8","-10","-25.9","-6.4",NULL,3,"-",3,"110000","C9H14N3O10P2-",NULL,"C5H5O3-","Loss of Cytosine and Ppi","dcdp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","dcdp","5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t}","{t,t,t,t,t,f,f,f,f}","386.0154417",NULL,"tuning",656,"{C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C}"
"386","159",NULL,"dCDP","-34.3","-10","-30.8","-10.6",NULL,1,"-",2,"160000","C9H14N3O10P2-","Bajad 2006","HO6P2-",NULL,"dcdp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","dcdp","5000","1",NULL,True,True,"{t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f}","386.0154417",NULL,"tuning",657,"{C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C}"
"113","70",NULL,"Uracil","0","0","0","0",NULL,NULL,"+",NULL,NULL,"C4H5N2O2+","Bajad 2006","C3H4NO+",NULL,"ura",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","ura","5000","1",NULL,False,False,NULL,NULL,"113.0351024",NULL,"tuning",678,NULL,NULL
"110.876","42",NULL,"Uracil","-100","-10","-26","-7",NULL,NULL,"-",1,NULL,"C4H3N2O2-","Beuscher 2010","CNO",NULL,"ura",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","ura","5000","1",NULL,False,False,NULL,NULL,"111.0194524",NULL,"tuning",679,NULL,NULL
"331","195",NULL,"dIMP","-47.7","-10","-22.9","-11.9",NULL,3,"-",1,"360000","C10H12N4O7P-",NULL,"C5H8O6P-","Loss of Hypoxanthine","dimp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","dimp","5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t,t}","{t,t,t,t,t,f,f,f,f,f}","331.0443603",NULL,"tuning",660,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"179","59",NULL,"Hexose_Pool_fru_glc-D","-36.2","-10","-23.1","-5.8",NULL,1,"-",NULL,NULL,"C6H11O6-","Beuscher 2010","C2H3O2-",NULL,"Hexose_Pool_fru_glc-D",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","Hexose_Pool_fru_glc-D","20000","1",NULL,True,True,"{t,t,t,t,t,t}","{f,f,f,f,t,t}",NULL,NULL,"tuning",661,"{C,C,C,C,C,C}","{C,C,C,C,C,C}"
"491","79",NULL,"dITP","-24.1","-10","-104","-9.1",NULL,1,"-",2,"1800000","C10H14N4O13P3-",NULL,"O3P-",NULL,"ditp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","ditp","5000","1",NULL,True,True,"{t,t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f,f}","490.9770211",NULL,"tuning",662,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"491","159",NULL,"dITP","-35.5","-10","-38.8","-8.4",NULL,3,"-",1,"1400000","C10H14N4O13P3-",NULL,"HO6P2-",NULL,"ditp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","ditp","5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f,f}","490.9770211",NULL,"tuning",663,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"491","393",NULL,"dITP","-28","-10","-32.2","-13.9",NULL,2,"-",3,"520000","C10H14N4O13P3-",NULL,"C10H11N4O9P2-",NULL,"ditp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","ditp","5000","1",NULL,True,False,"{t,t,t,t,t,t,t,t,t,t}","{t,t,t,t,t,t,t,t,t,t}","490.9770211",NULL,"tuning",664,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"563","79",NULL,"dTDPglucose","-20","-10","-117.3","-9.17",NULL,2,"-",2,"590000","C16H25N2O16P2-",NULL,"O3P-",NULL,"dtdpglu",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","dtdpglu","5000","1",NULL,True,False,NULL,NULL,"563.0679308",NULL,"tuning",665,NULL,NULL
"203","129",NULL,"Spermine","115.4","10","10.3","6.22",NULL,NULL,"+",2,"3200000","C10H27N4+",NULL,"C7H17N+",NULL,"sprm",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","sprm","5000","1",NULL,False,False,NULL,NULL,"203.2235719",NULL,"tuning",599,NULL,NULL
"203","159",NULL,"L-Tryptophan","-59.8","-10","-17.3","-19.7",NULL,NULL,"-",3,"470000","C11H11N2O2-",NULL,"C10H11N2-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L","5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,t,t,t,t}","203.0820526",NULL,"tuning",666,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"205","118",NULL,"L-Tryptophan","30.1","10","44","1.39",NULL,NULL,"+",1,"3600000","C11H13N2O2+",NULL,NULL,NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L","5000","1",NULL,False,False,NULL,NULL,"205.0977027",NULL,"tuning",667,NULL,NULL
"205","146",NULL,"L-Tryptophan","21.4","10","32.6","7.3",NULL,NULL,"+",2,"3400000","C11H13N2O2+","Bajad 2006","C9H8NO+",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L","5000","1",NULL,False,False,NULL,NULL,"205.0977027",NULL,"tuning",668,NULL,NULL
"205","188",NULL,"L-Tryptophan","46.7","10","23.1","5.3",NULL,NULL,"+",NULL,"3400000","C11H13N2O2+",NULL,NULL,NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L","5000","1",NULL,False,False,NULL,NULL,"205.0977027",NULL,"tuning",669,NULL,NULL
"149.916","103.9",NULL,"Guanine","-15","-10","-10","-11",NULL,2,"-",1,NULL,"C5H4N5O-",NULL,NULL,NULL,"gua",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","gua","5000","1",NULL,False,False,NULL,NULL,"150.0415848",NULL,"tuning",670,NULL,NULL
"180","72",NULL,"L-Tyrosine","-56.3","-10","-21","-3.1",NULL,NULL,"-",4,"16000","C9H10NO3-",NULL,"C2H2NO2-",NULL,"tyr-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","tyr-L","5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t}","{t,t,f,f,f,f,f,f,f}","180.0660682",NULL,"tuning",671,"{C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C}"
"180","134",NULL,"L-Tyrosine","-16.1","-10","-23.8","-7.1",NULL,NULL,"-",3,"44000","C9H10NO3-",NULL,"C8H8NO-",NULL,"tyr-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","tyr-L","5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,t,t}","180.0660682",NULL,"tuning",672,"{C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C}"
"182","136",NULL,"L-Tyrosine","33.3","10","18","16.9",NULL,NULL,"+",2,"390000","C9H12NO3+",NULL,NULL,NULL,"tyr-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","tyr-L","5000","1",NULL,False,False,NULL,NULL,"182.0817183",NULL,"tuning",673,NULL,NULL
"182","165",NULL,"L-Tyrosine","43.7","10","12.7","8.8",NULL,NULL,"+",1,"410000","C9H12NO3+",NULL,NULL,NULL,"tyr-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","tyr-L","5000","1",NULL,False,False,NULL,NULL,"182.0817183",NULL,"tuning",674,NULL,NULL
"522","424",NULL,"GTP","-32","-10","-33.8","-4.1",NULL,2,"-",3,"80000","C10H15N5O14P3-","Bajad 2006 / Beuscher 2010","C10H12N5O10P2-","Loss of GDP and OH-","gtp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","gtp","5000","1",NULL,True,False,"{t,t,t,t,t,t,t,t,t,t}","{t,t,t,t,t,t,t,t,t,t}","521.9828347",NULL,"tuning",675,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
