"q1_mass","q3_mass","ms3_mass","met_name","dp","ep","ce","cxp","af","quantifier","ms_mode","ion_intensity_rank","ion_abundance","precursor_formula","product_ion_reference","product_formula","production_ion_notes","met_id","external_reference","q1_mass_units","q3_mass_units","ms3_mass_units","threshold_units","dp_units","ep_units","ce_units","cxp_units","af_units","ms_group","threshold","dwell_weight","component_name","ms_include","ms_is","precursor_fragment","product_fragment","precursor_exactmass","product_exactmass","ms_methodtype","id","precursor_fragment_elements","product_fragment_elements"
"103","57",NULL,"2-Hydroxybutyrate","-67.9","-6","-17","-9.6",NULL,NULL,"-",1,"98000","C4H7O3-",NULL,NULL,NULL,"2hb",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","2hb","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",55,NULL,NULL
"115","71",NULL,"2-methyl-acetoacetate","-24.2","-10","-13.3","-8.9",NULL,NULL,"-",1,"87000","C5H7O3-",NULL,NULL,NULL,"2maa",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","2maa","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",56,NULL,NULL
"151","107",NULL,"2-Hydroxyphenylacetate","-39.7","-10","-19.5","-7.8",NULL,NULL,"-",1,"3800000","C8H7O3-",NULL,NULL,NULL,"2hyoxplac","C05852","Da","Da","Da","count","volts","volts","volts","volts","volts","2hyoxplac","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",57,NULL,NULL
"115","98",NULL,"2-methyl-acetoacetate","-108","-10","-31","-5.2",NULL,NULL,"-",2,"12000","C5H7O3-",NULL,NULL,NULL,"2maa",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","2maa","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",58,NULL,NULL
"117","71",NULL,"2-Hydroxy-3-methylbutyric acid","-44.3","-10","-17","-8.8",NULL,NULL,"-",1,"1500000","C5H9O3-",NULL,"C4H7O-",NULL,"2h3mb","HMDB00407","Da","Da","Da","count","volts","volts","volts","volts","volts","2h3mb","5000","1",NULL,False,False,NULL,NULL,"117.0551692",NULL,"tuning",59,NULL,NULL
"117","41",NULL,"Pool_3h3mb_R-3hpt","-30","-10","-38","-5",NULL,NULL,"-",NULL,NULL,"C5H9O3-",NULL,"C2HO-","Could also be C3H5-","Pool_3h3mb_R-3hpt",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","Pool_3h3mb_R-3hpt","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",60,NULL,NULL
"117","59",NULL,"Pool_3h3mb_R-3hpt","-30","-10","-14.5","-7",NULL,NULL,"-",NULL,NULL,"C5H9O3-",NULL,"C2H3O2-","Could also be C3H7O-","Pool_3h3mb_R-3hpt",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","Pool_3h3mb_R-3hpt","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",61,NULL,NULL
"131","73",NULL,"2-methylbutanedioic acid","-66","-13","-15","-13",NULL,NULL,"-",2,"180000","C5H7O4-",NULL,"CH5O2-",NULL,"2mbed","HMDB01844","Da","Da","Da","count","volts","volts","volts","volts","volts","2mbed","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",62,NULL,NULL
"191","111",NULL,"Pool_cit_icit","-47.7","-10","-19.1","-6.8",NULL,NULL,"-",NULL,NULL,"C6H7O7-","Bajad 2006 / Luo 2007 / Beuscher 2010","C5H3O3-",NULL,"Pool_cit_icit",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","Pool_cit_icit","5000","1",NULL,False,False,"{t,t,t,t,t,t}",NULL,NULL,NULL,"tuning",63,"{C,C,C,C,C,C}",NULL
"131","87",NULL,"2-methylbutanedioic acid","-40","-10","-16.7","-11.4",NULL,NULL,"-",1,"900000","C5H7O4-",NULL,"C4H7O2-",NULL,"2mbed","HMDB01844","Da","Da","Da","count","volts","volts","volts","volts","volts","2mbed","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",64,NULL,NULL
"102","35",NULL,"4-Aminobutanoate","-36.1","-10","-19.9","-3.8",NULL,NULL,"-",1,"220000","C4H8NO2",NULL,NULL,NULL,"4abut",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","4abut","5000","1",NULL,False,False,"{t,t,t,t}",NULL,NULL,NULL,"tuning",65,"{C,C,C,C}",NULL
