id,experiment_id,sample_name_abbreviation,time_point,met_id,fragment_id,fragment_formula,intensity_normalized_average,intensity_normalized_cv,intensity_normalized_stdev,intensity_normalized_units,scan_type,met_elements,met_atompositions,used_,comment_
1448,WTEColi_optTrDesign,1-13C80_U-13C20,0,amp_c,amp_c_C10H13N5O7P,C10H13N5O7P-,NULL,NULL,NULL,normSum,MRM,"{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",FALSE,NULL
1446,WTEColi_optTrDesign,1-13C80_U-13C20,0,akg_c,akg_c_C4H5O3,C4H5O3-,NULL,NULL,NULL,normSum,MRM,"{C,C,C,C}","{0,1,2,3}",TRUE,NULL
5459,ALEWt01,OxicEvo05Ecoli13CGlc,0,13dpg_c,13dpg_c_C3H7O10P2_MRM,C3H7O10P2-,"{0.525488427568272,0.283816512515663,0.0402046534255143,0.150490406490551}","{18.9671578320023,26.3953154420985,50.7493316786715,22.5572851781149}","{0.0996702194457812,0.0749142637552722,0.0204035929171746,0.0339465501577779}",normSum,MRM,"{C,C,C}","{0,1,2}",TRUE,NULL
5460,ALEWt01,OxicEvo05Ecoli13CGlc,0,6pgc_c,6pgc_c_C6H12O10P_MRM,C6H12O10P-,"{0.0551696763077954,0.624384274897436,0.0857357468713626,0.0445180501799419,0.0340548423875258,0.0118272536399594,0.144310155715979}","{10.4460418069379,1.15127323891547,5.23555173236367,6.14308958931512,5.47265622300696,5.99738824063087,6.42250960907226}","{0.00576304745186462,0.00718836906489058,0.00448873938057856,0.00273478370597009,0.00186370445115614,0.000709326318992512,0.00926833361772589}",normSum,MRM,"{C,C,C,C,C,C}","{0,1,2,3,4,5}",TRUE,NULL
5461,ALEWt01,OxicEvo05Ecoli13CGlc,0,accoa_c,accoa_c_C23H37N7O17P3S_MRM,C23H37N7O17P3S-,"{0.00120461237969357,0.00602097571698443,0.017987014523178,0.0431089026163447,0.0720803470639653,0.0992451784157512,0.124722513964674,0.133665332482107,0.126455033293309,0.107723877132735,0.091732157291785,0.0687275671207999,0.046057651080992,0.0285856368925781,0.0154704445594084,0.00871757370839558,0.00431357504733494,0.00190791461493084,0.00082496817576636,0.00034398925240439,0.000176263465941388,0.0002109394026014,0.000295848364292052,0.000514171543194939}","{14.1359484455194,8.1123563442575,9.38494637163237,10.3722482696307,8.24820355055556,6.53757227758468,7.46911999983387,4.2516095445066,3.07941757193401,7.75706983333944,9.19534342603807,5.90250752781518,7.54730071516362,5.01486557914461,6.8966517234048,8.49917105804109,6.70494719848488,15.3620419696457,21.5011494834269,24.136368854156,46.7873226270524,30.3016183724664,20.5721099308895,40.0519302602607}","{0.000170283384961827,0.00048844300556299,0.00168807166685798,0.0044713624056806,0.00594533374578276,0.0064882252709476,0.00931567423483106,0.00568292803350574,0.00389407851582916,0.00835621637636703,0.00843508689509305,0.00405664982298944,0.00347610942942327,0.00143353126510516,0.00106694268132482,0.000740921501587356,0.000289222929290827,0.00029309464389068,0.000177377640662225,8.30265147789773e-005,8.24689564836218e-005,6.39180527734367e-005,6.08622507308994e-005,0.000205935627898543}",normSum,MRM,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}",TRUE,NULL
5462,ALEWt01,OxicEvo05Ecoli13CGlc,0,acon_DASH_C_c,acon_DASH_C_c_C5H5O4_MRM,C5H5O4-,"{0.143954852356922,0.304133974471209,0.271825441757038,0.165894231044775,0.0881928973083757,0.0259986030616805}","{3.06242125069305,5.16411434055486,3.60148870794199,2.51166006201571,5.33301877418014,8.96646727242472}","{0.00440850398998218,0.0157058261901672,0.00978976259019315,0.00416669914633968,0.00470334377094909,0.00233115623481319}",normSum,MRM,"{C,C,C,C,C}","{0,1,2,3,4}",TRUE,NULL
5463,ALEWt01,OxicEvo05Ecoli13CGlc,0,acon_DASH_C_c,acon_DASH_C_c_C6H5O6_MRM,C6H5O6-,"{0.132753133273524,0.253483428821022,0.265086091091703,0.190856730758247,0.10282141600359,0.0452902428429343,0.00970895720898036}","{3.18912406985228,6.33674178889708,3.82597472640553,2.30632375527849,7.61037303711201,6.37516289395887,9.22010860035055}","{0.00423366212670903,0.0160625903620309,0.0101421268483849,0.00440177412002536,0.00782509331991399,0.00288732675630661,0.000895176398629553}",normSum,MRM,"{C,C,C,C,C,C}","{0,1,2,3,4,5}",TRUE,NULL
5464,ALEWt01,OxicEvo05Ecoli13CGlc,0,akg_c,akg_c_C4H5O3_MRM,C4H5O3-,"{0.167320809104743,0.334833033944712,0.291887921452582,0.158084990497774,0.0478732450001892}","{4.61427168361123,2.31768518426152,2.66188722897417,4.93212982479562,6.97584252728267}","{0.00772063671530936,0.00776037561974994,0.00776972730406444,0.00779695696486603,0.00333956218391342}",normSum,MRM,"{C,C,C,C}","{0,1,2,3}",TRUE,NULL
5465,ALEWt01,OxicEvo05Ecoli13CGlc,0,akg_c,akg_c_C5H5O5_MRM,C5H5O5-,"{0.152750999005677,0.277211501545449,0.283729802623966,0.190206060022225,0.0772923686690552,0.018809268133628}","{4.18823135829973,2.94960611899799,2.80601793182947,3.70857531728624,6.25635796192677,8.20367658833257}","{0.00639756524047187,0.00817664741215077,0.00796150913957285,0.00705393499396689,0.00483568726118823,0.00154305152631514}",normSum,MRM,"{C,C,C,C,C}","{0,1,2,3,4}",TRUE,NULL
6171,ALEsKOs01,OxicEvo04pgiEcoli13CGlc,0,g6p_c,g6p_c_C6H12O9P_MRM,C6H12O9P-,"{0.00914856131195596,0.711068192338839,0.0456482671517675,0.013260485231134,0.0059061696684904,0.0140217551863405,0.200946569111473}","{6.6902471181117,2.10632913945366,6.48463660600698,7.39391524799168,14.7255684063368,9.27551765884521,7.01947485234413}","{0.000612061359521816,0.0149774365366194,0.00296012424173138,0.000980469039462502,0.000869717054727869,0.00130059037838906,0.0141053938854282}",normSum,MRM,"{C,C,C,C,C,C}","{0,1,2,3,4,5}",TRUE,NULL
