,id,experiment_id,sample_name_abbreviation,time_point,met_id,fragment_id,fragment_formula,intensity_normalized_average,intensity_normalized_cv,intensity_normalized_stdev,intensity_normalized_units,scan_type,met_elements,met_atompositions,used_,comment_
2311,8207,WTEColi_113C80_U13C20_01,OxicWtGlc,0,atp_c,atp_c_C10H15N5O13P3_MRM,C10H15N5O13P3-,"{0.0645823836519661,0.173129760516522,0.209802149465216,0.189167412144247,0.145109306482955,0.0959329344749867,0.062750175057891,0.0365817466085679,0.0157887490388866,0.00570791632788613,0.00144746623087469}","{8.2448205877639,2.13727278126841,2.42692714274752,1.99216691140714,5.00034072832005,6.31485635901747,3.67023108105847,3.93688350748885,7.15185964975467,8.13412280848371,13.2900409755593}","{0.00532470166340597,0.00370025524779481,0.00509174531143905,0.00376853059190286,0.00725595975264997,0.00605802701308576,0.00230307642839332,0.00144018074898407,0.00112918917171316,0.000464288923915752,0.00019236885519063}",normSum,MRM,"{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",True,
2312,8208,WTEColi_113C80_U13C20_01,OxicWtGlc,0,dhap_c,dhap_c_C3H6O6P_MRM,C3H6O6P-,"{0.285899937762146,0.483533282023271,0,0.230566780214583}","{11.3010728984057,5.23131862055332,0,9.62989201571836}","{0.0323097603829966,0.025295166619056,0,0.022203331958783}",normSum,MRM,"{C,C,C}","{0,1,2}",True,
2313,8209,WTEColi_113C80_U13C20_01,OxicWtGlc,0,fad_c,fad_c_C27H32N9O15P2_MRM,C27H32N9O15P2-,"{0,0,0.0257916317626292,0.0544166361393792,0.0778246507815903,0.0938371870506823,0.106914375846105,0.116046718233621,0.113015922665638,0.110937792323738,0.0918312701857498,0.0708581588634025,0.0496681712017799,0.0356877210533912,0.0230872785802777,0.0133010800302323,0.00740108248128395,0.00470356942858909,0,0,0,0,0,0,0,0,0,0.00467675337191101}","{0,0,25.4854679940341,11.2595959505858,10.7548213654571,7.67854866064248,7.67407875496502,6.49033664016463,9.38873620159067,5.25140177440562,8.85853991142518,3.95699714727837,7.56948995304548,13.9424374777754,12.3506306551806,21.7637680460978,42.9369122664207,26.764185033676,0,0,0,0,0,0,0,0,0,29.5380724675686}","{0,0,0.006573118058004,0.00612709335919455,0.00836990216985085,0.00720533406946474,0.0082046934028094,0.00753182267322531,0.0106107668448705,0.0058257891945752,0.00813490972057334,0.00280385532483881,0.00375962722898016,0.00497573819511196,0.00285142450578272,0.00289481620540559,0.00317779629175432,0.001258872025055,0,0,0,0,0,0,0,0,0,0.00138142280012453}",normSum,MRM,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}",True,
2314,8210,WTEColi_113C80_U13C20_01,OxicWtGlc,0,fdp_c,fdp_c_C6H13O12P2_MRM,C6H13O12P2-,"{0.0410520859034433,0.461427504861035,0.158614414501978,0.118388154678044,0.107183959441311,0.0187436594451513,0.0945902211690377}","{9.84219406343849,5.11646369253367,3.57331908998376,9.45554249450278,13.7955139189109,24.5598799692593,12.4677381495827}","{0.00404042596170637,0.0236087707535789,0.00566779915286515,0.0111942422740401,0.0147865780435659,0.00460342026157589,0.0117932610904668}",normSum,MRM,"{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,
2315,8211,WTEColi_113C80_U13C20_01,OxicWtGlc,0,g1p_c,g1p_c_C6H12O9P_MRM,C6H12O9P-,"{0,0.788698478864822,0,0,0,0,0.211301521135178}","{0,4.20475328461822,0,0,0,0,15.6945510934524}","{0,0.0331628251958025,0,0,0,0,0.0331628251958026}",normSum,MRM,"{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,
2316,8212,WTEColi_113C80_U13C20_01,OxicWtGlc,0,g6p_c,g6p_c_C6H12O9P_MRM,C6H12O9P-,"{0.0626168489769608,0.751291514350479,0,0,0,0,0.18609163667256}","{37.7873376176362,3.47480886137064,0,0,0,0,8.76645153087215}","{0.0236612401284496,0.0261059441153761,0,0,0,0,0.0163136331319067}",normSum,MRM,"{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,
2317,8213,WTEColi_113C80_U13C20_01,OxicWtGlc,0,glu_DASH_L_c,glu_DASH_L_c_C5H6NO3_MRM,C5H6NO3-,"{0.134416295749209,0.282378711250261,0.294519501433933,0.194676620600098,0.0767543775675311,0.0172544933989674}","{3.80190459435754,6.56357203471221,5.3195267317975,3.67653622283493,5.76134585405709,5.33413702012504}","{0.0051103793236544,0.0185341301236029,0.0156670436091348,0.00715735647375353,0.00442208514979428,0.000920378320029352}",normSum,MRM,"{C,C,C,C,C}","{0,1,2,3,4}",True,
2318,8214,WTEColi_113C80_U13C20_01,OxicWtGlc,0,glu_DASH_L_c,glu_DASH_L_c_C5H8NO4_MRM,C5H8NO4-,"{0.134416295749209,0.282378711250261,0.294519501433933,0.194676620600098,0.0767543775675311,0.0172544933989674}","{3.80190459435754,6.56357203471221,5.3195267317975,3.67653622283493,5.76134585405709,5.33413702012504}","{0.0051103793236544,0.0185341301236029,0.0156670436091348,0.00715735647375353,0.00442208514979428,0.000920378320029352}",normSum,MRM,"{C,C,C,C,C}","{0,1,2,3,4}",True,
2319,8215,WTEColi_113C80_U13C20_01,OxicWtGlc,0,glyc3p_c,glyc3p_c_C3H8O6P_MRM,C3H8O6P-,"{0.451908640587223,0.360439649762822,0.0335327400346162,0.154118969615339}","{2.7032008545421,2.01423673633141,10.6965129921541,5.59228216040087}","{0.0122159982341034,0.00726010783782703,0.00358683389442798,0.00861876764359224}",normSum,MRM,"{C,C,C}","{0,1,2}",True,
2320,8216,WTEColi_113C80_U13C20_01,OxicWtGlc,0,glyclt_c,glyclt_c_C2H3O3_MRM,C2H3O3-,"{0.571933445513831,0.218497888498506,0.209568665987663}","{5.20302160194855,10.8112075194015,3.9150460445964}","{0.0297578207188533,0.023622260151084,0.00820470976846344}",normSum,MRM,"{C,C}","{0,1}",True,
