sample_name_abbreviation,component_group_name,component_name,calculated_concentration_units,var,ci_level,max,test_stat,median,used_,ci_lb,iq_1,cv,min,n,iq_3,ci_ub,mean,pvalue_corrected,index_
EColi_BL21,cmp,cmp.cmp_1.Light,umol*gDW-1,0.075565034,0.95,0.993823891,6.631320221,0.859839997,TRUE,0.45571133,0.510254372,36.9381912,0.38423852,6,0.945221422,1.032672047,0.744191689,0.001174659,37
EColi_BL21,coa,coa.coa_1.Light,umol*gDW-1,0.117603947,0.95,5.152936166,33.29629402,4.696143852,TRUE,4.30167189,4.39844005,7.35664378,4.248840888,6,4.831100547,5.021446883,4.661559387,4.59E-07,40
EColi_BL21,ctp,ctp.ctp_1.Light,umol*gDW-1,0.129589527,0.95,1.610300241,7.365647921,0.949137724,TRUE,0.704699438,0.838637075,33.25559094,0.727741258,6,1.329858593,1.460262569,1.082481003,0.000724587,41
EColi_BL21,cytd,cytd.cytd_1.Light,umol*gDW-1,6.37521E-06,0.95,0.213456266,204.3437499,0.211575757,TRUE,0.207986432,0.20863398,1.198710381,0.207330418,6,0.212063017,0.213285909,0.21063617,5.33E-11,44
EColi_BL21,dadp,dadp.dadp_1.Light,umol*gDW-1,0.00064314,0.95,0.209841989,16.44994148,0.164620647,TRUE,0.143696635,0.158524776,14.89056813,0.137188542,6,0.182979108,0.196924445,0.17031054,1.51509E-05,46
EColi_BL21,datp,datp.datp_1.Light,umol*gDW-1,0.009352393,0.95,0.734526291,15.22955289,0.59886868,TRUE,0.49978608,0.550787192,16.08379287,0.463550359,6,0.657522619,0.702763243,0.601274662,2.21316E-05,47
EColi_BL21,dcdp,dcdp.dcdp_1.Light,umol*gDW-1,0.000838605,0.95,0.187340203,12.61739654,0.140061141,TRUE,0.118776743,0.133845726,19.41359087,0.113953127,6,0.17137466,0.179557268,0.149167005,5.55472E-05,49
EColi_BL21,dcmp,dcmp.dcmp_1.Light,umol*gDW-1,0.000112159,0.95,0.051558152,8.692384442,0.040226296,TRUE,0.02646802,0.030009968,28.17972168,0.023242376,6,0.042782796,0.048696182,0.037582101,0.000333362,52
EColi_BL21,dctp,dctp.dctp_1.Light,umol*gDW-1,0.010173981,0.95,0.526228212,10.00048518,0.395350288,TRUE,0.305951788,0.361665012,24.49370904,0.26954808,6,0.499271934,0.517656859,0.411804323,0.000170908,53
EColi_BL21,dhap,dhap.dhap_1.Light,umol*gDW-1,15.7416105,0.95,14.48584691,4.7981516,6.552897316,TRUE,3.608114163,5.399438547,51.05069508,3.701844953,6,9.38010038,11.93553257,7.771823365,0.004891617,56
EColi_BL21,dtdpglu,dtdpglu.dtdpglu_1.Light,umol*gDW-1,0.001507854,0.95,0.141846233,5.349268934,0.088799528,TRUE,0.044049769,0.052960848,45.79111226,0.040300079,6,0.103232149,0.125551235,0.084800502,0.003066007,58
EColi_BL21,dttp,dttp.dttp_1.Light,umol*gDW-1,1.565003738,0.95,8.090796185,13.98974439,7.837716763,TRUE,5.831983943,6.091017125,17.50918155,5.528751735,6,8.00833602,8.457674211,7.144829077,3.35559E-05,60
EColi_BL21,dump,dump.dump_1.Light,umol*gDW-1,0.001043139,0.95,0.159682553,8.39315989,0.10333907,TRUE,0.076773384,0.089900837,29.18435696,0.073266658,6,0.130052807,0.144562004,0.110667694,0.000393361,62
EColi_BL21,,ec,ratio,3.32879E-05,0.95,0.984468718,414.1032128,0.973973067,TRUE,0.969330234,0.971850803,0.59151672,0.968767568,6,0.978481514,0.98143981,0.975385022,1.56E-12,63
EColi_BL21,,ec_denominator,ratio,113.8299892,0.95,68.96419518,13.79454529,65.00086571,TRUE,48.88762802,53.98633623,17.75694444,43.22000787,6,67.25343904,71.28072455,60.08417628,3.59434E-05,64
